chennai_crime_dataset_high_accuracy_5000_records
crime_id,crime_type,reported_datetime,road_name,latitude,longitude,road_segment_id,lighting,road_type,crime_count_6mo,crime_types_in_area,police_distance_km,cctv_present,eyewitness_reports,victims_count,victims_age_group,victims_gender,severity_level,case_status,primary_evidence,jurisdiction,reported_by,community_reports,safety_score,affected_route_id,affected_segments,proximity_to_route_km,sanitized_description,area_type,hour,month,day_of_week,is_night,is_weekend
crime_0016,theft,2025-06-15 18:20:21,Road_99,13.122254,80.278188,seg_2934,Good,Highway,50,"vandalism,burglary,scam",0.49,Yes,0,3,Child,Male,Low,Closed - Arrest,No evidence,Chennai South,Police Report,0,9.632,route_106,seg_7650;seg_3718,0.165,Crime incident reported and under investigation.,very_low_crime,19,6,6,0,1
crime_0017,vandalism,2025-05-30 18:20:21,Road_22,13.024473,80.258805,seg_5063,Moderate,Highway,121,"assault,scam,homicide",2.24,Yes,3,1,Adult,Mixed,High,Closed - Unsolved,Forensic samples,Chennai West,Hospital,8,7.426,route_575,seg_6160;seg_9507;seg_2471;seg_5729,0.881,Crime incident reported and under investigation.,low_crime,3,5,4,1,0
crime_0018,theft,2025-01-31 18:20:21,Road_6,12.962278,80.327077,seg_2852,Moderate,Market street,229,robbery,2.11,No,3,1,Adult,Mixed,Medium,Open,Witness statements,Chennai North,Hospital,1,5.554,route_832,seg_9201,1.101,Crime incident reported and under investigation.,medium_crime,10,1,4,0,0
crime_0019,rape,2025-04-09 18:20:21,Road_89,13.035591,80.319691,seg_8951,Moderate,Market street,400,"robbery,rape,homicide",2.01,No,1,2,Adult,Male,Low,Under Investigation,Digital trace,Chennai East,Police Report,1,7.16,route_771,seg_4454;seg_6209;seg_5687,1.696,Crime incident reported and under investigation.,low_crime,21,4,2,1,0
crime_0020,vandalism,2025-04-30 18:20:21,Road_38,13.1487,80.324654,seg_3029,Good,Alley,50,"robbery,vandalism,homicide",0.72,Yes,3,3,Mixed,Male,Low,Closed - Unsolved,No evidence,Chennai South,Anonymous Tip,4,9.174,route_500,seg_6946;seg_9566;seg_1222;seg_8247,0.157,Crime incident reported and under investigation.,very_low_crime,6,4,2,1,0
crime_0021,assault,2025-04-07 18:20:21,Road_35,13.139765,80.273776,seg_2561,Good,Highway,50,"assault,vandalism",0.93,Yes,2,3,Mixed,Male,Critical,Open,Witness statements,Chennai North,NGO Report,10,8.593,route_327,seg_2193,1.635,Crime incident reported and under investigation.,very_low_crime,18,4,0,0,0
crime_0022,theft,2024-12-10 18:20:21,Road_9,13.134912,80.243193,seg_8735,Moderate,Highway,400,burglary,1.33,No,3,1,Child,Male,High,Under Investigation,Witness statements,Chennai North,NGO Report,8,8.124,route_122,seg_5468;seg_7567;seg_9938;seg_2594,1.776,Crime incident reported and under investigation.,low_crime,20,12,1,1,0
crime_0023,murder,2025-09-03 18:20:21,Road_45,13.10189,80.314068,seg_5511,Good,Underpass,50,eve_teasing,0.98,Yes,2,1,Mixed,Male,High,Closed - Unsolved,Witness statements,Chennai East,NGO Report,6,8.769,route_848,seg_1540;seg_7151;seg_1153,0.756,Crime incident reported and under investigation.,very_low_crime,12,9,2,0,0
crime_0024,robbery,2025-04-18 18:20:21,Road_61,13.008477,80.207052,seg_5694,Moderate,Market street,370,"homicide,theft",1.33,No,5,3,Mixed,Female,High,Open,Witness statements,Chennai West,Police Report,12,6.986,route_932,seg_4450;seg_6408;seg_8381;seg_4964,0.763,Crime incident reported and under investigation.,low_crime,5,4,4,1,0
crime_0025,assault,2025-09-03 18:20:21,Road_18,13.120128,80.18268,seg_5732,Moderate,Residential,225,"assault,burglary,vandalism",2.04,No,5,2,Adult,Female,Critical,Under Investigation,Digital trace,Chennai West,Hospital,5,4.543,route_971,seg_6786;seg_5829,1.22,Crime incident reported and under investigation.,medium_crime,11,9,2,0,0
crime_0026,murder,2025-05-05 18:20:21,Road_66,13.145555,80.243897,seg_1951,Good,Main road,50,"burglary,assault",2.4,Yes,3,1,Adult,Mixed,High,Open,No evidence,Chennai Central,Police Report,4,7.686,route_949,seg_8062;seg_1765;seg_1389;seg_7717,1.623,Crime incident reported and under investigation.,low_crime,16,5,0,0,0
crime_0027,eve_teasing,2025-05-22 18:20:21,Road_38,12.998279,80.327182,seg_1218,Poor,Market street,400,"murder,assault",3.18,No,5,3,Adult,Female,Low,Closed - Unsolved,No evidence,Chennai East,Citizen App,7,5.327,route_129,seg_7403;seg_1838;seg_9511;seg_4793,0.927,Crime incident reported and under investigation.,medium_crime,18,5,3,0,0
crime_0028,theft,2025-02-28 18:20:21,Road_38,13.102271,80.195928,seg_3533,Moderate,Main road,400,"eve_teasing,robbery,rape",2.61,No,0,3,Child,Female,High,Under Investigation,Digital trace,Chennai Central,NGO Report,6,4.422,route_383,seg_8895;seg_8450;seg_5287,0.159,Crime incident reported and under investigation.,medium_crime,5,2,4,1,0
crime_0029,eve_teasing,2025-06-27 18:20:21,Road_56,12.993601,80.204456,seg_2035,Moderate,Main road,391,"eve_teasing,burglary",1.37,No,3,1,Adult,Female,High,Open,Forensic samples,Chennai South,Police Report,5,8.126,route_203,seg_4691,0.225,Crime incident reported and under investigation.,low_crime,6,6,4,1,0
crime_0030,assault,2025-09-22 18:20:21,Road_55,13.149706,80.341117,seg_8809,Good,Highway,50,theft,0.89,Yes,5,3,Child,Mixed,Medium,Closed - Unsolved,No evidence,Chennai West,Police Report,5,9.141,route_863,seg_6485;seg_9385;seg_3872,1.774,Crime incident reported and under investigation.,very_low_crime,13,9,0,0,0
crime_0031,scam,2025-02-08 18:20:21,Road_16,13.00349,80.254835,seg_1619,Moderate,Underpass,400,"scam,rape,robbery",1.54,No,0,2,Adult,Male,High,Closed - Arrest,Digital trace,Chennai South,Citizen App,8,7.657,route_865,seg_2398;seg_6574;seg_4856,0.161,Crime incident reported and under investigation.,low_crime,1,2,5,1,1
crime_0032,scam,2025-05-19 18:20:21,Road_13,13.009125,80.336244,seg_2256,Moderate,Alley,56,"homicide,burglary,scam",3.2,Yes,0,2,Mixed,Female,Medium,Open,No evidence,Chennai South,NGO Report,1,4.222,route_689,seg_6791;seg_7312,0.228,Crime incident reported and under investigation.,medium_crime,13,5,0,0,0
crime_0033,homicide,2025-03-25 18:20:21,Road_11,13.108417,80.195356,seg_2357,Moderate,Highway,50,scam,2.14,Yes,3,3,Child,Female,Low,Open,Witness statements,Chennai North,Police Report,0,6.07,route_145,seg_4188;seg_4750;seg_1916,0.637,Crime incident reported and under investigation.,medium_crime,13,3,1,0,0
crime_0034,theft,2025-02-22 18:20:21,Road_87,13.053947,80.340386,seg_3677,Good,Alley,157,"robbery,assault,eve_teasing",2.03,No,4,2,Adult,Male,Critical,Closed - Arrest,CCTV footage,Chennai East,NGO Report,0,8.149,route_957,seg_2744;seg_5775;seg_2341,1.102,Crime incident reported and under investigation.,low_crime,13,2,5,0,1
crime_0035,vandalism,2025-01-02 18:20:21,Road_58,12.957126,80.240415,seg_6120,Good,Market street,50,homicide,2.87,Yes,4,1,Mixed,Female,Critical,Under Investigation,Digital trace,Chennai Central,Anonymous Tip,8,7.562,route_369,seg_6508;seg_3512,1.729,Crime incident reported and under investigation.,low_crime,19,1,3,0,0
crime_0036,scam,2025-06-16 18:20:21,Road_95,12.992744,80.280905,seg_7236,Moderate,Main road,400,"robbery,burglary",3.34,No,0,2,Mixed,Male,Critical,Closed - Unsolved,Forensic samples,Chennai South,Hospital,6,4.585,route_304,seg_1677,1.351,Crime incident reported and under investigation.,medium_crime,1,6,0,1,0
crime_0037,homicide,2025-08-17 18:20:21,Road_37,13.102855,80.219837,seg_4990,Moderate,Market street,147,"burglary,vandalism",3.05,Yes,4,2,Adult,Male,Low,Open,CCTV footage,Chennai Central,Police Report,10,4.772,route_873,seg_4913;seg_8571,1.161,Crime incident reported and under investigation.,medium_crime,8,8,6,0,1
crime_0038,robbery,2025-01-08 18:20:21,Road_11,13.040142,80.2349,seg_7700,Moderate,Underpass,50,"murder,theft,eve_teasing",2.91,Yes,2,2,Mixed,Female,High,Open,Witness statements,Chennai North,NGO Report,9,6.548,route_437,seg_4200,1.755,Crime incident reported and under investigation.,low_crime,15,1,2,0,0
crime_0039,vandalism,2024-11-15 18:20:21,Road_81,13.045084,80.263725,seg_7206,Moderate,Market street,115,"burglary,vandalism",2.82,Yes,2,1,Adult,Female,Critical,Under Investigation,Digital trace,Chennai South,Citizen App,9,8.297,route_229,seg_5781;seg_2113,0.784,Crime incident reported and under investigation.,low_crime,5,11,4,1,0
crime_0040,vandalism,2025-07-29 18:20:21,Road_91,13.073737,80.245534,seg_9129,Good,Alley,50,"theft,robbery",2.86,Yes,5,3,Adult,Female,Critical,Open,Digital trace,Chennai North,Hospital,9,6.016,route_376,seg_4726;seg_8517,0.347,Crime incident reported and under investigation.,low_crime,8,7,1,0,0
crime_0041,scam,2025-08-14 18:20:21,Road_75,13.119167,80.312378,seg_4245,Good,Highway,50,"homicide,assault",0.31,Yes,1,1,Child,Female,Medium,Open,Digital trace,Chennai East,Citizen App,9,8.707,route_513,seg_4605;seg_3931;seg_7709,1.483,Crime incident reported and under investigation.,very_low_crime,23,8,3,1,0
crime_0042,rape,2025-10-08 18:20:21,Road_72,13.065466,80.27436,seg_4471,Good,Highway,50,"vandalism,murder",1.75,Yes,4,3,Child,Mixed,Medium,Closed - Arrest,Digital trace,Chennai North,Anonymous Tip,7,7.533,route_401,seg_4858,0.187,Crime incident reported and under investigation.,low_crime,12,10,2,0,0
crime_0043,murder,2024-11-28 18:20:21,Road_72,13.007131,80.296479,seg_1402,Poor,Underpass,395,"assault,vandalism,rape",2.62,No,5,1,Mixed,Mixed,Medium,Under Investigation,Digital trace,Chennai North,Anonymous Tip,5,4.708,route_419,seg_8395;seg_7080;seg_9735;seg_5435,1.238,Crime incident reported and under investigation.,medium_crime,17,11,3,0,0
crime_0044,assault,2025-07-04 18:20:21,Road_100,12.954831,80.326002,seg_5674,Moderate,Highway,236,"burglary,robbery,rape",2.77,No,0,1,Adult,Male,Critical,Open,CCTV footage,Chennai West,Police Report,10,4.24,route_669,seg_8865,0.925,Crime incident reported and under investigation.,medium_crime,9,7,4,0,0
crime_0045,homicide,2025-07-12 18:20:21,Road_41,12.97803,80.234868,seg_7482,Good,Residential,50,"theft,eve_teasing,homicide",2.57,Yes,3,1,Mixed,Mixed,High,Open,Witness statements,Chennai West,Hospital,9,8.232,route_657,seg_7054;seg_1376,0.063,Crime incident reported and under investigation.,low_crime,9,7,5,0,1
crime_0046,homicide,2025-01-16 18:20:21,Road_7,13.129317,80.187072,seg_7224,Moderate,Underpass,298,"scam,homicide",3.92,No,1,1,Adult,Mixed,Critical,Open,No evidence,Chennai West,Hospital,7,4.595,route_212,seg_1868;seg_4216;seg_1885,0.502,Crime incident reported and under investigation.,medium_crime,11,1,3,0,0
crime_0047,scam,2025-06-12 18:20:21,Road_67,12.952178,80.324902,seg_2600,Moderate,Alley,400,"burglary,theft",3.51,No,4,2,Child,Male,Medium,Closed - Unsolved,Digital trace,Chennai East,Citizen App,1,6.12,route_109,seg_9058;seg_9909;seg_6454;seg_7492,0.429,Crime incident reported and under investigation.,medium_crime,6,6,3,1,0
crime_0048,burglary,2025-05-27 18:20:21,Road_53,12.964777,80.321375,seg_6904,Moderate,Highway,400,"homicide,burglary,robbery",3.9,No,1,3,Child,Mixed,Low,Under Investigation,Witness statements,Chennai Central,Police Report,0,4.781,route_838,seg_5074;seg_3921;seg_4716;seg_3524,0.433,Crime incident reported and under investigation.,medium_crime,5,5,1,1,0
crime_0049,rape,2025-05-23 18:20:21,Road_48,12.976029,80.243627,seg_2604,Moderate,Market street,135,"theft,homicide",2.31,No,0,2,Mixed,Male,Critical,Closed - Unsolved,Witness statements,Chennai East,Hospital,6,6.096,route_709,seg_6128,1.648,Crime incident reported and under investigation.,low_crime,9,5,4,0,0
crime_0050,vandalism,2025-05-22 18:20:21,Road_97,12.971437,80.316495,seg_2194,Poor,Highway,379,eve_teasing,3.77,Yes,3,1,Child,Female,High,Closed - Arrest,Digital trace,Chennai West,Anonymous Tip,10,4.997,route_645,seg_2075;seg_6209;seg_6301,0.526,Crime incident reported and under investigation.,medium_crime,5,5,3,1,0
crime_0051,theft,2025-05-15 18:20:21,Road_77,12.960652,80.197619,seg_5869,Poor,Alley,400,"vandalism,scam,rape",4.56,No,4,1,Child,Male,Critical,Under Investigation,Witness statements,Chennai West,Anonymous Tip,9,0.831,route_352,seg_5721;seg_4385,0.542,Crime incident reported and under investigation.,high_crime,10,5,3,0,0
crime_0052,rape,2025-01-18 18:20:21,Road_80,13.091662,80.228832,seg_2997,Poor,Residential,400,"homicide,scam",3.75,No,5,2,Child,Female,Medium,Closed - Unsolved,CCTV footage,Chennai South,Hospital,8,4.42,route_907,seg_1377,1.942,Crime incident reported and under investigation.,medium_crime,3,1,5,1,1
crime_0053,murder,2025-03-15 18:20:21,Road_60,13.07338,80.303545,seg_4252,Moderate,Market street,69,"vandalism,rape,scam",1.12,Yes,2,3,Child,Male,High,Closed - Arrest,No evidence,Chennai North,NGO Report,10,6.5,route_899,seg_4000,0.017,Crime incident reported and under investigation.,low_crime,19,3,5,0,1
crime_0054,homicide,2025-03-25 18:20:21,Road_12,12.965304,80.325232,seg_2384,Moderate,Market street,400,"rape,burglary,murder",3.39,No,1,2,Mixed,Mixed,High,Open,Digital trace,Chennai East,Citizen App,10,4.786,route_945,seg_7402,1.625,Crime incident reported and under investigation.,medium_crime,5,3,1,1,0
crime_0055,theft,2025-09-29 18:20:21,Road_96,12.96615,80.270841,seg_7281,Good,Residential,169,"eve_teasing,murder",1.21,No,2,1,Mixed,Female,High,Closed - Unsolved,Forensic samples,Chennai East,Police Report,0,7.122,route_162,seg_8500;seg_3179;seg_9945;seg_3293,0.106,Crime incident reported and under investigation.,low_crime,2,9,0,1,0
crime_0056,eve_teasing,2025-07-26 18:20:21,Road_38,13.074114,80.276545,seg_1764,Moderate,Main road,278,"assault,eve_teasing,theft",1.91,No,5,3,Mixed,Male,High,Closed - Unsolved,Witness statements,Chennai South,Anonymous Tip,1,8.308,route_189,seg_6641;seg_5093;seg_3853;seg_4623,1.257,Crime incident reported and under investigation.,low_crime,18,7,5,0,1
crime_0057,rape,2025-05-01 18:20:21,Road_34,12.993894,80.248429,seg_1713,Good,Residential,50,"murder,vandalism,theft",2.33,Yes,3,2,Mixed,Male,Medium,Open,Digital trace,Chennai South,Hospital,8,6.75,route_674,seg_5049;seg_3817,0.128,Crime incident reported and under investigation.,low_crime,17,5,3,0,0
crime_0058,eve_teasing,2025-03-14 18:20:21,Road_23,12.972725,80.341152,seg_7420,Poor,Market street,388,"robbery,assault",2.2,No,3,1,Mixed,Female,High,Closed - Unsolved,Digital trace,Chennai Central,Anonymous Tip,6,5.046,route_474,seg_5239;seg_9528;seg_1354,1.352,Crime incident reported and under investigation.,medium_crime,17,3,4,0,0
crime_0059,murder,2025-02-03 18:20:21,Road_84,13.079526,80.303236,seg_7956,Good,Underpass,50,"scam,homicide",2.31,Yes,5,1,Child,Mixed,Medium,Open,Witness statements,Chennai West,Citizen App,8,6.307,route_871,seg_9908;seg_3241;seg_6643,1.182,Crime incident reported and under investigation.,low_crime,17,2,0,0,0
crime_0060,homicide,2025-01-21 18:20:21,Road_79,13.069131,80.250436,seg_8473,Good,Market street,277,robbery,2.72,No,1,1,Adult,Male,High,Closed - Arrest,Witness statements,Chennai East,Citizen App,10,8.238,route_464,seg_7220;seg_1325;seg_7801,1.636,Crime incident reported and under investigation.,low_crime,21,1,1,1,0
crime_0061,theft,2025-10-27 18:20:21,Road_63,13.04682,80.348013,seg_8653,Good,Market street,50,"homicide,eve_teasing",2.42,Yes,4,2,Adult,Male,Low,Closed - Unsolved,Forensic samples,Chennai Central,Citizen App,9,6.699,route_372,seg_4239;seg_3287;seg_1087;seg_7224,0.42,Crime incident reported and under investigation.,low_crime,14,10,0,0,0
crime_0062,scam,2025-06-09 18:20:21,Road_54,13.135569,80.314428,seg_3903,Good,Highway,50,"theft,scam,rape",0.63,Yes,1,1,Child,Mixed,Medium,Under Investigation,Forensic samples,Chennai East,NGO Report,10,9.564,route_103,seg_9079;seg_1724,1.083,Crime incident reported and under investigation.,very_low_crime,23,6,0,1,0
crime_0063,scam,2025-03-08 18:20:21,Road_28,13.011546,80.272897,seg_5702,Good,Highway,122,theft,2.58,Yes,4,1,Child,Mixed,Critical,Closed - Arrest,Digital trace,Chennai North,NGO Report,5,6.562,route_834,seg_5310;seg_7208,1.292,Crime incident reported and under investigation.,low_crime,5,3,5,1,1
crime_0064,assault,2025-06-13 18:20:21,Road_2,13.098807,80.181279,seg_1651,Moderate,Underpass,231,homicide,3.94,Yes,5,3,Child,Female,High,Closed - Unsolved,No evidence,Chennai Central,Hospital,11,5.209,route_123,seg_6165;seg_5577;seg_9426;seg_6497,0.82,Crime incident reported and under investigation.,medium_crime,21,6,4,1,0
crime_0065,eve_teasing,2025-04-07 18:20:21,Road_42,13.079346,80.251576,seg_7539,Good,Alley,52,"rape,burglary,homicide",2.56,Yes,5,2,Adult,Mixed,Low,Under Investigation,CCTV footage,Chennai Central,NGO Report,1,7.935,route_913,seg_1493;seg_4827;seg_9353;seg_4484,1.653,Crime incident reported and under investigation.,low_crime,23,4,0,1,0
crime_0066,murder,2025-08-22 18:20:21,Road_24,12.993052,80.224742,seg_5826,Good,Market street,50,"scam,murder",1.11,Yes,0,1,Mixed,Female,High,Closed - Arrest,CCTV footage,Chennai Central,NGO Report,10,7.662,route_137,seg_3318;seg_6054,1.075,Crime incident reported and under investigation.,low_crime,13,8,4,0,0
crime_0067,robbery,2025-09-15 18:20:21,Road_86,13.054366,80.279181,seg_8438,Moderate,Highway,89,"murder,homicide",1.99,Yes,5,3,Child,Female,Critical,Under Investigation,No evidence,Chennai South,Hospital,11,6.027,route_439,seg_8246,0.099,Crime incident reported and under investigation.,low_crime,3,9,0,1,0
crime_0068,murder,2025-06-08 18:20:21,Road_87,13.052742,80.325064,seg_4838,Good,Highway,91,vandalism,1.66,Yes,3,3,Adult,Female,Critical,Closed - Arrest,Witness statements,Chennai West,Police Report,6,7.042,route_580,seg_2903;seg_5174;seg_5268;seg_1029,0.925,Crime incident reported and under investigation.,low_crime,2,6,6,1,1
crime_0069,vandalism,2025-08-24 18:20:21,Road_7,13.022924,80.238399,seg_5593,Moderate,Alley,54,"vandalism,eve_teasing,rape",1.51,Yes,5,2,Mixed,Female,Low,Closed - Arrest,No evidence,Chennai Central,Police Report,0,7.613,route_184,seg_5846;seg_9778;seg_8059;seg_9109,0.576,Crime incident reported and under investigation.,low_crime,19,8,6,0,1
crime_0070,homicide,2024-11-09 18:20:21,Road_87,13.110678,80.185106,seg_2110,Poor,Underpass,400,"assault,robbery,burglary",3.65,Yes,5,2,Adult,Mixed,Critical,Closed - Arrest,Witness statements,Chennai South,Hospital,7,5.137,route_443,seg_2815;seg_8600;seg_6125;seg_7713,0.471,Crime incident reported and under investigation.,medium_crime,23,11,5,1,1
crime_0071,eve_teasing,2025-06-07 18:20:21,Road_20,12.960087,80.202664,seg_3107,Dark,Alley,400,"robbery,murder,eve_teasing",6.89,No,2,2,Mixed,Mixed,Critical,Closed - Arrest,CCTV footage,Chennai South,Police Report,7,1.654,route_149,seg_1379;seg_1864;seg_1135;seg_9012,0.973,Crime incident reported and under investigation.,high_crime,5,6,5,1,1
crime_0072,theft,2025-06-27 18:20:21,Road_34,13.034566,80.297024,seg_9465,Moderate,Residential,117,"assault,vandalism,theft",2.93,Yes,1,3,Mixed,Female,Low,Open,CCTV footage,Chennai South,NGO Report,3,7.534,route_603,seg_8674;seg_2324;seg_5765,1.11,Crime incident reported and under investigation.,low_crime,3,6,4,1,0
crime_0073,robbery,2025-04-24 18:20:21,Road_53,13.086689,80.296703,seg_9548,Good,Market street,50,"murder,scam",0.69,Yes,2,3,Adult,Mixed,High,Closed - Unsolved,Witness statements,Chennai South,Citizen App,12,8.551,route_236,seg_1269,0.035,Crime incident reported and under investigation.,very_low_crime,10,4,3,0,0
crime_0074,rape,2025-09-28 18:20:21,Road_42,13.1231,80.309365,seg_4864,Good,Alley,50,"rape,scam",0.46,Yes,4,3,Child,Mixed,Critical,Open,CCTV footage,Chennai Central,NGO Report,4,9.645,route_933,seg_6087;seg_9531;seg_2063;seg_1718,1.587,Crime incident reported and under investigation.,very_low_crime,0,9,6,1,1
crime_0075,assault,2024-11-22 18:20:21,Road_68,12.999882,80.237705,seg_8188,Good,Alley,57,assault,2.74,No,4,2,Child,Male,High,Closed - Arrest,Digital trace,Chennai East,Citizen App,7,8.416,route_205,seg_8078;seg_2812;seg_6556,1.373,Crime incident reported and under investigation.,low_crime,17,11,4,0,0
crime_0076,burglary,2025-07-25 18:20:21,Road_78,13.049974,80.217765,seg_5689,Moderate,Alley,50,"murder,vandalism,robbery",2.51,Yes,4,1,Mixed,Female,Low,Under Investigation,No evidence,Chennai East,Citizen App,5,6.049,route_115,seg_2670,1.542,Crime incident reported and under investigation.,low_crime,15,7,4,0,0
crime_0077,scam,2025-06-11 18:20:21,Road_20,12.971174,80.344698,seg_5398,Moderate,Underpass,220,"assault,scam,murder",3.75,Yes,0,1,Child,Mixed,Medium,Closed - Unsolved,Witness statements,Chennai South,NGO Report,4,5.233,route_419,seg_9912,0.254,Crime incident reported and under investigation.,medium_crime,20,6,2,1,0
crime_0078,burglary,2025-09-07 18:20:21,Road_67,13.079947,80.33956,seg_5407,Good,Highway,111,eve_teasing,2.21,Yes,5,1,Child,Female,Low,Closed - Arrest,Digital trace,Chennai West,Hospital,9,6.707,route_900,seg_2916;seg_4144;seg_8903,0.558,Crime incident reported and under investigation.,low_crime,23,9,6,1,1
